연번,조사기관(자료회신기관),업소명,품목명,품목기준코드,품목구분,제조/수입,전문/일반,조사 항목,,,,,,,해당 품목 자료 작성자 정보,,
,,,,,,,,"부작용피해구제 안내문구 표시 여부
(포장, 용기, 첨부문서 중 일부라도 표시한 경우, O)
(포장, 용기, 첨부문서 어느 곳에도 전혀 표시하지 않은 경우, X)","피해구제 표준도안 사용여부
(포장, 용기, 첨부문서 중 일부라도 표시한 경우, O)
(포장, 용기, 첨부문서 어느 곳에도 전혀 표시하지 않은 경우, X)",표시위치,"구체적인 표시 문구
(포장, 용기, 첨부문서 각각)","미표시 사유
(포장, 용기, 첨부문서 어느 곳에도 전혀 표시하지 않은 경우만 작성)","향후 표시 계획(시기)
(포장, 용기, 첨부문서 어느 곳에도 전혀 표시하지 않은 경우만 작성)",건의사항,이름,전화번호,이메일주소
1,한국바이오의약품협회,(주)녹십자,유락신연고(크로타미톤),197400416,의약품,제조,일반의약품,,,,,,,,,,
2,한국바이오의약품협회,(주)녹십자,녹십자제놀카타플라스마,198100609,의약품,제조,일반의약품,,,,,,,,,,
3,한국바이오의약품협회,(주)녹십자,바스포연고,198200799,의약품,제조,일반의약품,,,,,,,,,,
4,한국바이오의약품협회,(주)녹십자,녹십자제놀마일드핫트카타플라스마,198301091,의약품,제조,일반의약품,,,,,,,,,,
5,한국바이오의약품협회,(주)녹십자,페리덱스연고(덱사메타손),198902460,의약품,제조,일반의약품,,,,,,,,,,
6,한국바이오의약품협회,(주)녹십자,"비펜카타플라스마(플루르비프로펜)(수출명(싱가폴,말레이지아,태국):아쿠스탑카타플라스마)",199102741,의약품,제조,일반의약품,,,,,,,,,,
7,한국바이오의약품협회,(주)녹십자,후시메드연고(퓨시드산나트륨),199202640,의약품,제조,일반의약품,,,,,,,,,,
8,한국바이오의약품협회,(주)녹십자,씨즈날정(세티리진염산염),199703153,의약품,제조,일반의약품,,,,,,,,,,
9,한국바이오의약품협회,(주)녹십자,써버쿨액,199903457,의약품,제조,일반의약품,,,,,,,,,,
10,한국바이오의약품협회,(주)녹십자,녹십자아시클로버크림,200004060,의약품,제조,일반의약품,,,,,,,,,,
11,한국바이오의약품협회,(주)녹십자,노바손크림,200004086,의약품,제조,일반의약품,,,,,,,,,,
12,한국바이오의약품협회,(주)녹십자,한방수카타플라스마,200103238,의약품,제조,일반의약품,,,,,,,,,,
13,한국바이오의약품협회,(주)녹십자,데놀정(비스무트시트르산염칼륨),200202791,의약품,제조,전문의약품,,,,,,,,,,
14,한국바이오의약품협회,(주)녹십자,핀테정(에포니디핀염산염),200202793,의약품,제조,전문의약품,,,,,,,,,,
15,한국바이오의약품협회,(주)녹십자,베라스트정(베라프로스트나트륨),200302216,의약품,제조,전문의약품,,,,,,,,,,
16,한국바이오의약품협회,(주)녹십자,제놀쿨카타플라스마,200302217,의약품,제조,일반의약품,,,,,,,,,,
17,한국바이오의약품협회,(주)녹십자,명심고카타플라스마,200302218,의약품,제조,일반의약품,,,,,,,,,,
18,한국바이오의약품협회,(주)녹십자,녹십자헤파린나트륨주사액,200302231,의약품,제조,전문의약품,,,,,,,,,,
19,한국바이오의약품협회,(주)녹십자,리피딜슈프라정(페노피브레이트),200308577,의약품,수입,전문의약품,,,,,,,,,,
20,한국바이오의약품협회,(주)녹십자,아마그린정2밀리그람(글리메피리드),200403351,의약품,제조,전문의약품,,,,,,,,,,
21,한국바이오의약품협회,(주)녹십자,녹십자주사용수,200403394,의약품,제조,전문의약품,,,,,,,,,,
22,한국바이오의약품협회,(주)녹십자,메트그린에스알정500밀리그람(메트포르민염산염),200502773,의약품,제조,전문의약품,,,,,,,,,,
23,한국바이오의약품협회,(주)녹십자,그린콜샷에스시럽,200502775,의약품,제조,일반의약품,,,,,,,,,,
24,한국바이오의약품협회,(주)녹십자,백초시럽플러스,200502778,한약(생약)제제등,제조,일반의약품,,,,,,,,,,
25,한국바이오의약품협회,(주)녹십자,제놀원카타플라스마,200502779,의약품,제조,일반의약품,,,,,,,,,,
26,한국바이오의약품협회,(주)녹십자,"수두박스주(수두생바이러스백신)(수출명: 브이제트박스주, 바리셀라백신-지씨씨주, 바리셀)",200502795,생물의약품,제조,전문의약품,,,,,,,,,,
